"","player.x","n","player_id","team","team_id","position","SBgoals","SBapp","pos","player.y","club","total","rn","dist"
"178","MATTHIJS DE LIGT",53,94300,"MANCHESTER UNITED",1724,"D",2,42,"D","MATTHIJS DE LIGT","Manchester United",2,185,0
"179","MAX CONWAY",58,134541,"BOLTON",354,"M",2,48,"D","MAX CONWAY","Crewe",2,186,0
"180","MICHAEL IHIEKWE",39,71423,"BLACKPOOL",317,"D",2,25,"D","MICHAEL IHIEKWE","Sheffield Wednesday",2,187,0
"181","MICKEY DEMETRIOU",45,58275,"CREWE",652,"D",2,37,"D","MICKEY DEMETRIOU","Crewe",2,188,0
"182","MILAN VAN EWIJK",59,121671,"COVENTRY",621,"D",2,51,"D","MILAN VAN EWIJK","Coventry",2,189,0
"183","MILOS KERKEZ",45,141919,"LIVERPOOL",1563,"D",2,41,"D","MILOS KERKEZ","Bournemouth",2,190,0
"184","MURILLO",49,159346,"NOTTINGHAM FOREST",1845,"D",2,39,"D","MURILLO","Nottingham Forest",2,191,0
"185","NATHAN COLLINS",59,115865,"BRENTFORD",378,"D",2,42,"D","NATHAN COLLINS","Brentford",2,192,0
"186","NEILL BYRNE",55,60649,"BRADFORD",234,"D",2,30,"D","NEILL BYRNE","Bradford",2,193,0
"187","OLA AINA",57,83098,"NOTTINGHAM FOREST",1845,"D",2,37,"D","OLA AINA","Nottingham Forest",2,194,0
"188","POL VALENTIN",47,107153,"PRESTON",2054,"D",2,37,"D","POL VALENTIN","Sheffield Wednesday",2,195,0
"189","REECE JAMES",45,70735,"ROTHERHAM",2180,"D",2,44,"D","REECE JAMES","Rotherham",2,196,0
"190","REECE JAMES",105,99408,"CHELSEA",536,"M",2,27,"D","REECE JAMES","Rotherham",2,196,0
"191","REECE JAMES",45,70735,"ROTHERHAM",2180,"D",2,44,"D","REECE JAMES","Chelsea",2,197,0
"192","REECE JAMES",105,99408,"CHELSEA",536,"M",2,27,"D","REECE JAMES","Chelsea",2,197,0
"193","RENATO VEIGA",89,158705,"CHELSEA",536,"M",2,20,"D","RENATO VEIGA","Chelsea",2,198,0
"194","RHYS BENNETT",45,144406,"MANCHESTER UNITED",1724,"D",2,36,"D","RHYS BENNETT","Fleetwood",2,199,0
"195","RHYS WILLIAMS",63,123481,"LIVERPOOL",1563,"D",2,36,"D","RHYS WILLIAMS","Morecambe",2,200,0
"196","RICO LEWIS",71,144394,"MANCHESTER CITY",1718,"D",2,43,"D","RICO LEWIS","Manchester City",2,201,0
"197","ROB ATKINSON",49,108814,"BRISTOL CITY",376,"D",2,15,"D","ROB ATKINSON","Portsmouth",2,202,0
"198","ROB DICKIE",55,81572,"BRISTOL CITY",376,"D",2,37,"D","ROB DICKIE","Bristol City",2,203,0
"199","RONNIE EDWARDS",49,128422,"SOUTHAMPTON",2471,"D",2,24,"D","RONNIE EDWARDS","QPR",2,204,0
"200","RUBEN ROOSKEN",62,122128,"HUDDERSFIELD",1309,"D",2,14,"D","RUBEN ROOSKEN","Huddersfield",2,205,0
"201","RYAN BARNETT",75,100008,"WREXHAM",2859,"M",2,42,"D","RYAN BARNETT","Wrexham",2,206,0
"202","RYAN SWEENEY",44,79065,"MANSFIELD",1723,"D",2,45,"D","RYAN SWEENEY","Burton",2,207,0
"203","SAM MCCALLUM",47,116152,"SHEFFIELD UNITED",2328,"D",2,36,"D","SAM MCCALLUM","Sheffield United",2,208,0
"204","SAM STUBBS",45,100007,"SHREWSBURY",2325,"D",2,43,"D","SAM STUBBS","Cheltenham",2,209,0
"205","SHAUN ROONEY",57,71215,"FLEETWOOD",990,"D",3,22,"D","SHAUN ROONEY","Fleetwood",2,210,0
"206","SIL SWINKELS",71,136362,"ASTON VILLA",154,"D",2,15,"D","SIL SWINKELS","Bristol Rovers",2,211,0
"207","SONNY BRADLEY",39,58162,"LINCOLN",1559,"D",2,30,"D","SONNY BRADLEY","Wycombe",2,212,0
"208","STEVE COOK",49,49993,"QPR",2093,"D",2,33,"D","STEVE COOK","QPR",2,213,0
"209","TAYO EDUN",39,94197,"STOCKPORT",2473,"D",2,18,"D","TAYO EDUN","Peterborough",2,214,0
"210","THIERRY SMALL",45,137557,"PRESTON",2054,"D",2,46,"D","THIERRY SMALL","Charlton",2,215,0
"211","TOBY SIMS",46,172153,"HARROGATE",1222,"D",2,44,"D","TOBY SIMS","Harrogate",2,216,0
"212","TOM HAMER",51,107534,"LINCOLN",1559,"D",2,24,"D","TOM HAMER","Lincoln",2,217,0
"213","TOM JAMES",39,76007,"LEYTON ORIENT",1537,"D",2,31,"D","TOM JAMES","Leyton Orient",2,218,0
