"num","pos","player.x","player.y","club","team","league","total","player_id","dist","check_needed"
117,"D","ALFIE POND","ALFIE POND","Crewe","Chesterfield","L2",2,134572,0,FALSE
118,"D","AMADOU MBENGUE","AMADOU MBENGUE","QPR","QPR","CH",2,144468,0,FALSE
119,"D","ANDRE GARCIA","ANDRE GARCIA","Reading","Reading","L1",2,196251,0,FALSE
120,"D","BEN BROOKES","BEN BROOKES","York","York","L2",2,174105,0,FALSE
121,"D","BEN BROOKES","BEN BROOKES","York","York","L2",2,181423,0,FALSE
123,"D","BEN JOHNSON","BEN JOHNSON","Ipswich","Ipswich","PL",2,97116,0,FALSE
124,"D","BENN WARD","BENN WARD","Accrington","Reading","L1",2,181536,0,FALSE
125,"D","BRAD POTTS","BRAD POTTS","Preston","Preston","CH",2,66008,0,FALSE
126,"D","BRENDAN GALLOWAY","BRENDAN GALLOWAY","Plymouth","Plymouth","CH",2,63197,0,FALSE
127,"D","CAMERON BURGESS","CAMERON BURGESS","Swansea","Swansea","CH",2,76793,0,FALSE
128,"D","CAMERON EVANS","CAMERON EVANS","Newport","Newport","L2",2,115468,0,FALSE
129,"D","CHANSE HEADMAN","CHANSE HEADMAN","Harrogate","Bromley","L1",2,195941,0,FALSE
130,"D","CHRIS RICHARDS","CHRIS RICHARDS","Crystal Palace","Crystal Palace","PL",2,111665,0,FALSE
132,"D","CONNOR HALL","CONNOR HALL","Port Vale","Port Vale","L2",2,95380,0,FALSE
133,"D","CONNOR TAYLOR","CONNOR TAYLOR","Wycombe","Wycombe","L1",2,137154,0,FALSE
134,"D","CONOR MASTERSON","CONOR MASTERSON","Gillingham","Gillingham","L2",2,89682,0,FALSE
135,"D","CONOR SHAUGHNESSY","CONOR SHAUGHNESSY","Portsmouth","Portsmouth","CH",2,106486,0,FALSE
137,"D","DAN BALLARD","DAN BALLARD","Sunderland","Sunderland","PL",2,116942,0,FALSE
138,"D","DAN BURN","DAN BURN","Newcastle","Newcastle","PL",2,52681,0,FALSE
139,"D","DAN MOSS","DANIEL MOSS","Rochdale","Rochdale","L2",2,144448,0.0909090909090908,FALSE
140,"D","DAN SWEENEY","DAN SWEENEY","Stevenage","Wimbledon","L1",2,89616,0,FALSE
141,"D","DANNY IMRAY","DANNY IMRAY","Blackpool","Wrexham","CH",2,129185,0,FALSE
142,"D","DANNY IMRAY","DANNY IMRAY","West Bromwich","Wrexham","CH",1,129185,0,FALSE
143,"D","DAVID MOLLER WOLFE","DAVID MOLLER WOLFE","Wolves","Wolves","CH",2,137780,0,FALSE
