"link","id","team_id","Team"
"DEAN HENDERSON",89801,1724,NA
"DAVID DE GEA",52432,1724,NA
"TOM HEATON",41869,1724,NA
"ANDRE ONANA",81181,1724,NA
"MATEJ KOVAR",114556,1724,NA
"SONNY ALJOFREE",165960,1724,NA
"ERIC BAILLY",78096,1724,NA
"RHYS BENNETT",144406,1724,NA
"WILLIAM FISH",125652,1724,NA
"TYLER FREDRICSON",165961,1724,NA
"WILLY KAMBWALA",144408,1724,NA
"TEDEN MENGI",125648,1724,NA
"LOGAN PYE",134267,1724,NA
"VICTOR LINDELOF",75984,1724,NA
"PHIL JONES",52124,1724,NA
"HARRY MAGUIRE",58712,1724,NA
"LISANDRO MARTINEZ",119327,1724,NA
"TYRELL MALACIA",104402,1724,NA
"RAPHAEL VARANE",57416,1724,NA
"LUKE SHAW",62471,1724,NA
"JONNY EVANS",44583,1724,NA
"AARON WAN-BISSAKA",99993,1724,NA
"BRANDON WILLIAMS",123378,1724,NA
"MARC JURADO",144409,1724,NA
"ALVARO FERNANDEZ",136380,1724,NA
"TOBY COLLYER",135067,1724,NA
"OMARI FORSON",144397,1724,NA
"DANIEL GORE",165940,1724,NA
"ISAK HANSEN-AAROEN",134268,1724,NA
"KOBBIE MAINOO",145084,1724,NA
"HANNIBAL MEJBRI",127038,1724,NA
"MAXIMILLIAN OYEDELE",166511,1724,NA
"MASON MOUNT",96788,1724,NA
"BRUNO FERNANDES",72111,1724,NA
"CHRISTIAN ERIKSEN",54791,1724,NA
"FRED",72533,1724,NA
"CASEMIRO",65160,1724,NA
"DIOGO DALOT",106203,1724,NA
"FACUNDO PELLISTRI",134677,1724,NA
"DONNY VAN DE BEEK",81849,1724,NA
"SCOTT MCTOMINAY",102658,1724,NA
"ALEJANDRO GARNACHO",144404,1724,NA
"ANTHONY ELANGA",125650,1724,NA
"NOAM EMERAN",134270,1724,NA
"JOE HUGILL",134271,1724,NA
"CHARLIE MCNEILL",144388,1724,NA
"MATEO MEJIA",144400,1724,NA
"SHOLA SHORETIRE",136378,1724,NA
"ANTHONY MARTIAL",68556,1724,NA
"MARCUS RASHFORD",89213,1724,NA
"MASON GREENWOOD",113509,1724,NA
"AMAD DIALLO",126206,1724,NA
"ANTONY",130502,1724,NA
"JADON SANCHO",105272,1724,NA
"NATHAN HARNESS",126932,2812,NA
"CRAIG MACGILLIVRAY",68081,2812,NA
"RONNIE SANDFORD",145937,2812,NA
"SEBASTIAN STACEY",166494,2812,NA
"CAMERON NORMAN",88887,2812,NA
"DEAN LEWINGTON",34865,2812,NA
"JACK TUCKER",108267,2812,NA
"WARREN O'HORA",101435,2812,NA
"DANIEL HARVIE",80674,2812,NA
"BROOKLYN ILUNGA",139229,2812,NA
"ZAK JULES",88988,2812,NA
"ALEX GILBEY",66101,2812,NA
"MJ WILLIAMS",78123,2812,NA
"MATT SMITH",107014,2812,NA
"ETHAN ROBSON",95760,2812,NA
"NATHAN HOLLAND",97119,2812,NA
"CONOR GRANT",124927,2812,NA
"DARRAGH BURNS",129458,2812,NA
"DAWSON DEVOY",123291,2812,NA
"CALLUM TRIPP",145936,2812,NA
"MO EISA",68830,2812,NA
"JONATHAN LEKO",88147,2812,NA
"MAX DEAN",133508,2812,NA
"MATTHEW DENNIS",133520,2812,NA
"DAN KEMP",96154,2812,NA
"JOE DAY",49909,1824,NA
"NICK TOWNSEND",68932,1824,NA
"EVAN OVENDALE",136062,1824,NA
"MATTY BONDSWELL",144510,1824,NA
"KYLE JAMESON",108098,1824,NA
"JOSH SEBERRY",180765,1824,NA
"LEWYS TWAMLEY",133568,1824,NA
"DECLAN DRYSDALE",102629,1824,NA
"JAMES CLARKE",48162,1824,NA
"SCOTT BENNETT",50626,1824,NA
"HARRISON BRIGHT",134576,1824,NA
"EVAN CADWALLADER",174934,1824,NA
"SHANE MCLOUGHLIN",89817,1824,NA
"BYRN MORRIS",68839,1824,NA
"CALLUM RYAN-PHILLIP",134574,1824,NA
"NATHAN WOOD",124347,1824,NA
"SAM BOWEN",128575,1824,NA
"COURTNEY SENIOR",80600,1824,NA
"JAMES WAITE",118640,1824,NA
"HARRY CHARSLEY",99414,1824,NA
"AARON WILDIG",51976,1824,NA
"HARRISON PAIGE",176842,1824,NA
"SONNY LEWIS",133564,1824,NA
"JONAH WILLIAMS",144506,1824,NA
"RYAN HILLIER",125138,1824,NA
"SEB PALMER-HOULDEN",165629,1824,NA
"OMAR BOGLE",79428,1824,NA
"OFFRANDE ZANZALA",89861,1824,NA
"WILL EVANS",96472,1824,NA
"KIBAN RAI",175245,1824,NA
"TOM STOKES",144503,1824,NA
"MATTY BONDSWELL",144510,1824,NA
"SEB PALMER-HOULDEN",165629,1824,NA
"ETHAN HORVATH",71453,1845,NA
"WAYNE HENNESSEY",44062,1845,NA
"GEORGE SHELVEY",128595,1845,NA
"AARON DONNELLY",166392,1845,NA
"MOHAMED DRAGER",105744,1845,NA
"OLA AINA",83098,1845,NA
"GIULIAN BIANCONE",117505,1845,NA
"STEVE COOK",49993,1845,NA
"OMAR RICHARDS",97377,1845,NA
"JOE WORRALL",89685,1845,NA
